t_days,Ca_uM,YAP_nuclear,NFkB_active,STAT6_active,phenotype_inflammatory,phenotype_transitional,phenotype_healing,phenotype_fbgc_prone,fbgc_risk
0.0806,0.50922,0.658,0.28279,0.0011,0.43287,0.40654,0.10337,0.00024,0.0
0.0812,0.51,0.65837,0.28279,0.00111,0.43302,0.40654,0.10327,0.00024,0.0
0.0819,0.51076,0.65873,0.28278,0.00112,0.43316,0.40654,0.10316,0.00024,0.0
0.0826,0.51151,0.65909,0.28278,0.00113,0.4333,0.40654,0.10306,0.00024,0.0
0.0833,0.51225,0.65943,0.28277,0.00113,0.43343,0.40654,0.10296,0.00025,0.0
0.084,0.51297,0.65977,0.28276,0.00114,0.43356,0.40654,0.10287,0.00025,0.0
0.0847,0.51368,0.6601,0.28275,0.00115,0.43369,0.40654,0.10278,0.00025,0.0
0.0854,0.51438,0.66041,0.28274,0.00116,0.43381,0.40653,0.10268,0.00025,0.0
0.0861,0.51506,0.66073,0.28273,0.00116,0.43393,0.40653,0.1026,0.00025,0.0
0.0868,0.51573,0.66103,0.28272,0.00117,0.43404,0.40652,0.10251,0.00025,0.0
0.0875,0.51639,0.66133,0.2827,0.00118,0.43415,0.40652,0.10243,0.00026,0.0
0.0882,0.51704,0.66162,0.28269,0.00118,0.43426,0.40651,0.10234,0.00026,0.0
0.0889,0.51768,0.6619,0.28267,0.00119,0.43436,0.4065,0.10226,0.00026,0.0
0.0896,0.51831,0.66217,0.28266,0.0012,0.43446,0.40649,0.10219,0.00026,0.0
0.0903,0.51892,0.66244,0.28264,0.00121,0.43456,0.40649,0.10211,0.00026,0.0
0.091,0.51952,0.6627,0.28262,0.00121,0.43465,0.40648,0.10204,0.00026,0.0
0.0917,0.52012,0.66295,0.28261,0.00122,0.43474,0.40647,0.10197,0.00027,0.0
0.0924,0.5207,0.6632,0.28259,0.00123,0.43483,0.40646,0.1019,0.00027,0.0
0.0931,0.52128,0.66344,0.28257,0.00123,0.43492,0.40645,0.10183,0.00027,0.0
0.0938,0.52184,0.66368,0.28255,0.00124,0.435,0.40643,0.10176,0.00027,0.0
0.0944,0.5224,0.66391,0.28253,0.00125,0.43508,0.40642,0.1017,0.00027,0.0
0.0951,0.52294,0.66413,0.28251,0.00125,0.43516,0.40641,0.10164,0.00027,0.0
0.0958,0.52348,0.66435,0.28248,0.00126,0.43523,0.4064,0.10158,0.00027,0.0
0.0965,0.524,0.66456,0.28246,0.00127,0.4353,0.40638,0.10152,0.00028,0.0
0.0972,0.52452,0.66477,0.28244,0.00128,0.43537,0.40637,0.10146,0.00028,0.0
0.0979,0.52503,0.66497,0.28242,0.00128,0.43544,0.40635,0.10141,0.00028,0.0
0.0986,0.52553,0.66517,0.28239,0.00129,0.4355,0.40634,0.10135,0.00028,0.0
0.0993,0.52603,0.66536,0.28237,0.0013,0.43557,0.40632,0.1013,0.00028,0.0
0.1,0.52651,0.66555,0.28235,0.0013,0.43563,0.40631,0.10125,0.00028,0.0
0.1007,0.52699,0.66573,0.28232,0.00131,0.43569,0.40629,0.1012,0.00028,0.0
0.1014,0.52746,0.66591,0.2823,0.00132,0.43574,0.40628,0.10115,0.00029,0.0
0.1021,0.52793,0.66608,0.28227,0.00132,0.4358,0.40626,0.1011,0.00029,0.0
0.1028,0.52838,0.66625,0.28225,0.00133,0.43585,0.40624,0.10106,0.00029,0.0
0.1035,0.52883,0.66641,0.28222,0.00134,0.4359,0.40623,0.10101,0.00029,0.0
0.1042,0.52927,0.66657,0.2822,0.00134,0.43595,0.40621,0.10097,0.00029,0.0
0.1049,0.52971,0.66673,0.28217,0.00135,0.43599,0.40619,0.10093,0.00029,0.0
0.1056,0.53013,0.66688,0.28215,0.00136,0.43604,0.40618,0.10089,0.0003,0.0
0.1062,0.53056,0.66703,0.28212,0.00136,0.43608,0.40616,0.10085,0.0003,0.0
0.1069,0.53097,0.66717,0.28209,0.00137,0.43612,0.40614,0.10081,0.0003,0.0
0.1076,0.53138,0.66731,0.28207,0.00137,0.43616,0.40612,0.10077,0.0003,0.0
0.1083,0.53178,0.66745,0.28204,0.00138,0.4362,0.4061,0.10073,0.0003,0.0
0.109,0.53218,0.66758,0.28201,0.00139,0.43624,0.40608,0.1007,0.0003,0.0
0.1097,0.53257,0.66771,0.28198,0.00139,0.43627,0.40606,0.10066,0.0003,1e-05
0.1104,0.53296,0.66783,0.28196,0.0014,0.43631,0.40605,0.10063,0.00031,1e-05
0.1111,0.53334,0.66795,0.28193,0.00141,0.43634,0.40603,0.1006,0.00031,1e-05
0.1118,0.53371,0.66807,0.2819,0.00141,0.43637,0.40601,0.10057,0.00031,1e-05
0.1125,0.53408,0.66819,0.28187,0.00142,0.4364,0.40599,0.10054,0.00031,1e-05
0.1132,0.53445,0.6683,0.28184,0.00143,0.43643,0.40597,0.10051,0.00031,1e-05
0.1139,0.53481,0.66841,0.28181,0.00143,0.43645,0.40595,0.10048,0.00031,1e-05
0.1146,0.53516,0.66852,0.28179,0.00144,0.43648,0.40593,0.10045,0.00031,1e-05
0.1153,0.53551,0.66862,0.28176,0.00144,0.4365,0.40591,0.10043,0.00032,1e-05
0.116,0.53585,0.66872,0.28173,0.00145,0.43653,0.40589,0.1004,0.00032,1e-05
0.1167,0.53619,0.66882,0.2817,0.00146,0.43655,0.40587,0.10037,0.00032,1e-05
0.1174,0.53653,0.66891,0.28167,0.00146,0.43657,0.40585,0.10035,0.00032,1e-05
0.1181,0.53686,0.66901,0.28164,0.00147,0.43659,0.40583,0.10033,0.00032,1e-05
0.1188,0.53719,0.6691,0.28161,0.00148,0.43661,0.40581,0.1003,0.00032,1e-05
0.1194,0.53751,0.66919,0.28158,0.00148,0.43662,0.40579,0.10028,0.00032,1e-05
0.1201,0.53783,0.66927,0.28155,0.00149,0.43664,0.40577,0.10026,0.00033,1e-05
0.1208,0.53814,0.66935,0.28153,0.00149,0.43666,0.40574,0.10024,0.00033,1e-05
0.1215,0.53845,0.66943,0.2815,0.0015,0.43667,0.40572,0.10022,0.00033,1e-05
0.1222,0.53875,0.66951,0.28147,0.00151,0.43668,0.4057,0.1002,0.00033,1e-05
0.1229,0.53906,0.66959,0.28144,0.00151,0.4367,0.40568,0.10018,0.00033,1e-05
0.1236,0.53935,0.66966,0.28141,0.00152,0.43671,0.40566,0.10016,0.00033,1e-05
0.1243,0.53965,0.66973,0.28138,0.00152,0.43672,0.40564,0.10015,0.00033,1e-05
0.125,0.53994,0.6698,0.28135,0.00153,0.43673,0.40562,0.10013,0.00033,1e-05
0.1257,0.54023,0.66987,0.28132,0.00154,0.43674,0.4056,0.10011,0.00034,1e-05
0.1264,0.54051,0.66994,0.28129,0.00154,0.43675,0.40557,0.1001,0.00034,1e-05
0.1271,0.54079,0.67,0.28126,0.00155,0.43675,0.40555,0.10008,0.00034,1e-05
0.1278,0.54107,0.67006,0.28123,0.00155,0.43676,0.40553,0.10007,0.00034,1e-05
