t_days,Ca_uM,YAP_nuclear,NFkB,STAT6,inflam,transit,healing,fbgc_prone,fbgc_risk
0.0688,0.44046,0.64193,0.25882,0.0009,0.41206,0.38435,0.17472,0.00038,0.0
0.0694,0.44139,0.64254,0.25887,0.00091,0.41234,0.38441,0.17454,0.00039,0.0
0.0701,0.44229,0.64313,0.25892,0.00091,0.4126,0.38446,0.17437,0.00039,0.0
0.0708,0.44318,0.64371,0.25897,0.00092,0.41286,0.38451,0.1742,0.00039,0.0
0.0715,0.44405,0.64427,0.25901,0.00093,0.41311,0.38456,0.17404,0.00039,0.0
0.0722,0.4449,0.64482,0.25905,0.00094,0.41336,0.3846,0.17388,0.0004,0.0
0.0729,0.44573,0.64536,0.25908,0.00094,0.41359,0.38464,0.17372,0.0004,0.0
0.0736,0.44655,0.64588,0.25912,0.00095,0.41382,0.38468,0.17357,0.0004,0.0
0.0743,0.44735,0.64639,0.25915,0.00096,0.41404,0.38471,0.17342,0.00041,0.0
0.075,0.44813,0.64689,0.25917,0.00096,0.41426,0.38474,0.17327,0.00041,0.0
0.0757,0.4489,0.64738,0.2592,0.00097,0.41447,0.38477,0.17313,0.00041,0.0
0.0764,0.44966,0.64785,0.25922,0.00098,0.41467,0.3848,0.173,0.00042,0.0
0.0771,0.4504,0.64831,0.25924,0.00099,0.41487,0.38482,0.17286,0.00042,0.0
0.0778,0.45112,0.64876,0.25926,0.00099,0.41506,0.38485,0.17273,0.00042,0.0
0.0785,0.45183,0.6492,0.25927,0.001,0.41525,0.38487,0.17261,0.00042,0.0
0.0792,0.45253,0.64963,0.25929,0.00101,0.41543,0.38489,0.17248,0.00043,0.0
0.0799,0.45321,0.65005,0.2593,0.00101,0.4156,0.3849,0.17236,0.00043,0.0
0.0806,0.45388,0.65046,0.25931,0.00102,0.41577,0.38492,0.17224,0.00043,0.0
0.0812,0.45454,0.65086,0.25932,0.00103,0.41594,0.38493,0.17213,0.00044,0.0
0.0819,0.45519,0.65125,0.25933,0.00103,0.4161,0.38495,0.17202,0.00044,0.0
0.0826,0.45582,0.65163,0.25934,0.00104,0.41625,0.38496,0.17191,0.00044,0.0
0.0833,0.45644,0.652,0.25934,0.00105,0.4164,0.38497,0.1718,0.00044,0.0
0.084,0.45705,0.65236,0.25935,0.00105,0.41655,0.38498,0.1717,0.00045,0.0
0.0847,0.45765,0.65271,0.25935,0.00106,0.41669,0.38499,0.1716,0.00045,0.0
0.0854,0.45823,0.65305,0.25935,0.00107,0.41683,0.385,0.1715,0.00045,0.0
0.0861,0.45881,0.65339,0.25935,0.00108,0.41697,0.385,0.1714,0.00046,0.0
0.0868,0.45937,0.65371,0.25935,0.00108,0.4171,0.38501,0.17131,0.00046,0.0
0.0875,0.45993,0.65403,0.25935,0.00109,0.41722,0.38501,0.17122,0.00046,0.0
0.0882,0.46047,0.65434,0.25935,0.0011,0.41735,0.38502,0.17113,0.00046,0.0
0.0889,0.461,0.65464,0.25935,0.0011,0.41747,0.38502,0.17105,0.00047,0.0
0.0896,0.46153,0.65494,0.25935,0.00111,0.41758,0.38503,0.17096,0.00047,0.0
0.0903,0.46204,0.65522,0.25935,0.00112,0.4177,0.38503,0.17088,0.00047,0.0
0.091,0.46255,0.6555,0.25934,0.00112,0.41781,0.38503,0.1708,0.00048,0.0
